Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene
Zn2+ ABC transporter ATP binding subunit // Zn2+ ABC transporter membrane subunit // Zn2+ ABC transporter periplasmic binding protein	znuA // znuB // znuC		1941651	1942583
ribonuclease E inhibitor protein B	rraB	b4255	4478473	4478889
protein HokC	hokC	b4412	16751	16903
aspartate aminotransferase	aspC	b0928	984519	985709
proline&mdash;tRNA ligase	proS	b0194	217057	218775
chloride:H+ antiporter ClcA	clcA	b0155	175107	176528
tRNA U34 carboxymethyltransferase	cmoB	b1871	1953442	1954413
3-oxoacyl-[acyl carrier protein] synthase 1	fabB	b2323	2440385	2441605
guanidinium exporter	gdx	b4148	4376875	4377192
lipoamide dehydrogenase	lpd	b0116	127912	129336
divisome protein complex FtsEX	ftsX // ftsE		3601028	3602086
translocation and assembly module	tamA // tamB		4442382	4444115
Xaa-Pro aminopeptidase	pepP	b2908	3053515	3054840
predicted enamine/imine deaminase	tdcF	b3113	3259721	3260110
methionine adenosyltransferase	metK	b2942	3086706	3087860
<i>all-trans</i>-octaprenyl-diphosphate synthase	ispB	b3187	3333710	3334681
putative xanthine dehydrogenase	xdhC // xdhB // xdhA		3003489	3003968
UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	lpxD	b0179	200971	201996
ATP-dependent helicase Lhr	lhr	b1653	1729087	1733703
L-rhamnose mutarotase	rhaM	b3901	4093124	4093438
L-cysteine desulfurase SufS	sufS	b1680	1759303	1760523
&alpha; complex	atoD	b2221	2323447	2324109
bifunctional sensor histidine kinase PhoQ	phoQ	b1129	1188316	1189776
putative glutamate&mdash;cysteine ligase 2	ybdK	b0581	606265	607383
NADPH-dependent FMN reductase	ssuE	b0937	996937	997512
thiamine ABC transporter	thiB // thiP // thiQ		74497	75480
DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor	dinJ // yafQ		246242	246502
adenylosuccinate synthetase	purA	b4177	4404687	4405985
3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive	aroF	b2601	2740080	2741150
periplasmic chaperone, inhibitor of vertebrate C-type lysozyme	ivy	b0220	240343	240816
cell division factor ZapB	zapB	b3928	4118515	4118760
16S rRNA m4C1402 methyltransferase	rsmH	b0082	90094	91035
chemotaxis signaling complex core unit - ribose/galactose/glucose sensing	trg // cheW // cheA		1492470	1494110
carbon-phosphorus lyase core complex monomer	phnG // phnH // phnI // phnJ		4321244	4321696
heme ABC transporter CydDC	cydC // cydD		927474	929195
K<sup>+</sup> transporting P-type ATPase	kdpC // kdpB // kdpA // kdpF		724407	724979
menaquinol:trimethylamine <i>N</i>-oxide oxidoreductase I	torA // torC		1059256	1061802
degradosome	eno // pnp // rhlB // rne // ppk		2906643	2907941
alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	alaS	b2697	2819381	2822011
glutathione reductase (NADPH)	gor	b3500	3646299	3647651
glutamate&mdash;pyruvate aminotransferase AlaC	alaC	b2379	2497057	2498295
histidine kinase GlrK	glrK	b2556	2689671	2691098
uridylyl-[protein PII-2]	glnK		472598	472936
EnvZ-<i>N</i>-phospho-L-histidine	envZ		3534516	3535868
DLP12 prophage; DNA base-flipping protein	ybcN	b0547	572466	572921
HU&alpha;&alpha;	hupA	b4000	4200281	4200553
quinolinate synthase	nadA	b0750	782085	783128
putrescine aminotransferase	patA	b3073	3219494	3220873
sulfate adenylyltransferase	cysN // cysD		2873992	2875419
L-arginine ABC transporter	artP // artM // artQ // artJ		903006	903734
<i>holo</i>-EntB dimer	entB	b0595	627694	628551
Z-ring inhibitor complex MinCD	minC // minD		1225385	1226080
branched chain amino acid / phenylalanine ABC transporter	livJ // livM // livH // livG // livF		3598555	3599658
Tsr<SUP>gln</SUP>	tsr // cheA // cheW		4591657	4593312
putative transport complex, ABC superfamily	yhdW // yhdX // yhdY // yhdZ		3419042	3420066
DNA-binding transcriptional activator KdpE-phosphorylated	kdpE	b0694	721056	721733
regulator of KefC-mediated potassium transport and quinone oxidoreductase	kefF	b0046	47246	47776
primosome	dnaG // priC // priA // priB // dnaT // dnaB		3211107	3212852
purine nucleoside phosphorylase	deoD	b4384	4620883	4621602
methyl-directed mismatch repair system	mutH // mutS // mutL		2969662	2970351
CheA(L) - phosphorylated	cheA		1973360	1975324
ADP-sugar pyrophosphatase	nudF	b3034	3177281	3177910
lysine decarboxylase 1	cadA	b4131	4356470	4358617
hydrogenase 2	hybC // hybO // hybB // hybA		3141286	3142989
F- channel	crcB	b0624	657555	657938
L-rhamnonate dehydratase	rhmD	b2247	2360209	2361414
nucleoid occlusion factor SlmA	slmA	b3641	3814494	3815090
&beta;-galactosidase	lacZ	b0344	363231	366305
universal stress protein G	uspG	b0607	641439	641867
peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB	mrcB	b0149	164730	167264
heme chaperone HemW	hemW	b2955	3097267	3098403
6-hydroxyaminopurine reductase	yiiM	b3910	4102822	4103496
L-glycero-L-galacto-octuluronate-1-phosphate aldolase	ydjI	b1773	1856933	1857769
pantetheine-phosphate adenylyltransferase	coaD	b3634	3809825	3810304
MukEF complex	mukF // mukE		974319	975641
pyrroloquinoline quinone outer membrane transport complex	pqqU // tonB // exbB // exbD		1520963	1523065
glycerophosphoryl diester phosphodiesterase, periplasmic	glpQ	b2239	2349935	2351011
water channel AqpZ	aqpZ	b0875	915352	916047
sensor histidine kinase BarA	barA	b2786	2915057	2917813
glycolate dehydrogenase	glcF // glcE // glcD		3124236	3125459
NADPH-dependent aldehyde reductase YqhD	yqhD	b3011	3155355	3156518
murein tripeptide amidase A	mpaA	b1326	1389870	1390598
DUF892 domain-containing protein YciF	yciF	b1258	1315270	1315770
siroheme synthase	cysG	b3368	3497828	3499201
tryptophan synthase, &beta; subunit dimer	trpB	b1261	1317222	1318415
HprS-<i>N</i>-phospho-L-histidine	hprS		2036794	2038152
sensor histidine kinase KdpD	kdpD	b0695	721730	724414
citrate lyase, citryl-acyl carrrier protein lyase component	citE	b0616	649582	650490
glucose-1-phosphate thymidylyltransferase 1	rfbA	b2039	2110138	2111019
polynucleotide phosphorylase	pnp	b3164	3309033	3311168
tautomerase PptA	pptA	b1461	1533052	1533285
DNA gyrase	gyrB // gyrA		3877705	3880119
NAD kinase	nadK	b2615	2750831	2751709
McrBC restriction endonuclease	mcrC // mcrB		4576912	4577958
DNA-binding transcriptional dual regulator CpxR-phosphorylated	cpxR	b3912	4104972	4105670
serine hydroxymethyltransferase	glyA	b2551	2684254	2685507
glutaminase 1	glsA	b0485	511641	512573
diacylglycerol kinase	dgkA	b4042	4256637	4257005
L-asparaginase 2	ansB	b2957	3099682	3100728
transketolase 1	tktA	b2935	3079644	3081635
DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	nadR	b4390	4627315	4628547
holocytochrome <I>c</I> synthase complex	ccmF // ccmH		2292961	2294904
DNA polymerase III, &tau; subunit dimer	dnaX	b0470	492092	494023
6-phosphofructokinase 1	pfkA	b3916	4107552	4108514
DNA polymerase III, holoenzyme	holC // holD // dnaN // dnaX // holB // holA // dnaE // dnaQ // holE		4483837	4484280
pyridine nucleotide transhydrogenase subunit beta // pyridine nucleotide transhydrogenase subunit alpha	pntA // pntB		1676371	1677903
ADP-sugar diphosphatase NudE	nudE	b3397	3525589	3526149
tyrosine&mdash;tRNA ligase	tyrS	b1637	1715948	1717222
chemotaxis protein CheZ	cheZ	b1881	1966393	1967037
universal stress protein D	uspD	b3923	4113293	4113721
glycerol kinase	glpK	b3926	4115714	4117222
alanine racemase 2	dadX	b1190	1238879	1239949
selenate reductase	ynfH // ynfG // ynfF // ynfE		1663609	1664463
acetate/glycolate:cation symporter	actP	b4067	4283253	4284902
vitamin B<sub>12</sub> ABC transporter	btuF // btuC // btuD		177662	178462
chemotaxis protein CheA(L)	cheA	b1888	1973360	1975324
inorganic pyrophosphatase	ppa	b4226	4449122	4449652
ribose-phosphate diphosphokinase	prs	b1207	1260928	1261875
pyruvate kinase 2	pykA	b1854	1937649	1939091
Der GTPase-activating protein YihI	yihI	b3866	4051347	4051856
L-fuculose-phosphate aldolase	fucA	b2800	2933041	2933688
fructose-specific PTS enzyme II	fruA // fruB		2259719	2261410
2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase	paaY	b1400	1464471	1465061
acetyl-CoA acetyltransferase	atoB	b2224	2326109	2327293
assimilatory sulfite reductase (NADPH)	cysI // cysJ		2888387	2890099
tagatose-1,6-bisphosphate aldolase 1	kbaY	b3137	3283143	3284003
50S ribosomal subunit protein L7/L12 dimer	rplL	b3986	4180560	4180925
aminopeptidase B	pepB	b2523	2655075	2656358
diguanylate cyclase DgcC	dgcC	b0385	403703	404818
L-glycero-L-galacto-octuluronate kinase	ydjH	b1772	1855981	1856928
uracil transporter UraA	uraA	b2497	2618871	2620160
RNA polymerase sigma S	rpoS // rpoA // rpoC // rpoB		2866559	2867551
replicative DNA helicase	dnaB	b4052	4264314	4265729
phosphate signaling protein PhoU	phoU	b3724	3906853	3907578
PspABC complex	pspA // pspB // pspC		1368079	1368747
glutamate decarboxylase B	gadB	b1493	1570645	1572045
hypoxanthine phosphoribosyltransferase	hpt	b0125	141431	141967
K+ : H+ antiporter KefC	kefC	b0047	47769	49631
2,3-dihydroxybenzoyl-EntB	entB		627694	628551
miniconductance mechanosensitive channel MscM	mscM	b4159	4386047	4389370
KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase	nanY	b4280	4505287	4506405
phenylacetaldehyde dehydrogenase	feaB	b1385	1447519	1449018
uridylyl-[protein PII-1]	glnB		2687070	2687408
ATP-dependent RNA helicase DeaD	deaD	b3162	3305971	3307860
DNA-binding transcriptional dual regulator Cra	cra	b0080	88028	89032
NADPH-dependent nitro/quinone reductase NfsA	nfsA	b0851	891184	891906
phosphoadenosine phosphosulfate reductase	cysH	b2762	2887578	2888312
ribonuclease E	rne	b1084	1141182	1144367
DNA binding transcriptional dual regulator RcdA	rcdA	b0846	887423	887959
3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive	aroH	b1704	1788435	1789481
formate dehydrogenase N, subcomplex	fdnI // fdnH // fdnG		1551338	1551991
Trg<SUP>glu-Me</SUP>	trg // cheW // cheA		1492470	1494110
imidazole glycerol phosphate synthase subunit HisH // imidazole glycerol phosphate synthase subunit HisF	hisF // hisH		2095844	2096620
cystathionine beta-lyase / L-cysteine desulfhydrase / alanine racemase	metC	b3008	3152236	3153423
alpha-galactosidase	melA	b4119	4341911	4343266
CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system	rnlA	b2630	2765918	2766991
cyclic di-GMP phosphodiesterase PdeK	pdeK	b3529	3683630	3685618
SufBC<sub>2</sub>D Fe-S cluster scaffold complex	sufD // sufC // sufB		1760520	1761791
ribonuclease BN	rbn	b2268	2381608	2382525
DNA-binding transcriptional repressor MprA	mprA	b2684	2810770	2811300
putative phosphatidylethanolamine synthesis regulator GnsA	gnsA	b4517	1052067	1052240
alpha cleavage product of SpeD // beta cleavage product of SpeD	speD		134788	135582
CcmAB	ccmA // ccmB		2297021	2297644
sulfoquinovose isomerase	yihS	b3880	4070515	4071756
putative ethanolamine catabolic microcompartment shell protein EutS	eutS	b2462	2575470	2575805
guanylate kinase	gmk	b3648	3821428	3822051
aminodeoxychorismate synthase subunit 1 // aminodeoxychorismate synthase subunit 2	pabA // pabB		3490266	3490829
hydrogenase 3	hycE // hycB // hycG // hycF // hycC // hycD		2844762	2846471
4-aminobutyrate aminotransferase GabT	gabT	b2662	2792735	2794015
flagellar basal body	fliN // fliM // fliG // fliF // flgI // flgG // flgF // flgC // flgB // motB // motA // flgH		2021088	2021501
formate dehydrogenase O	fdoI // fdoH // fdoG		4081225	4081860
5,10-methylenetetrahydrofolate reductase	metF	b3941	4132616	4133506
glutamate decarboxylase A	gadA	b3517	3666180	3667580
cyanase	cynS	b0340	359489	359959
periplasmic nitrite reductase NrfAB	nrfB // nrfA		4289245	4289811
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE	b1208	1262026	1262877
DNA polymerase III, core enzyme	holE // dnaQ // dnaE		1925108	1925338
HflK-HflC complex; regulator of FtsH protease	hflC // hflK		4403300	4404304
redox-responsive ATPase YchF	ychF	b1203	1256721	1257812
fructose-6-phosphate aldolase 1	fsaA	b0825	863642	864304
ClpXP protease specificity-enhancing factor	sspB	b3228	3376279	3376776
lysine decarboxylase 2	ldcC	b0186	209679	211820
signaling pathway modulator ZraP	zraP	b4002	4201263	4201688
RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor	relE // relB		1645346	1645633
Trg<SUP>gln</SUP>	trg // cheW // cheA		1492470	1494110
GTP cyclohydrolase 1	folE	b2153	2242984	2243652
threonine&mdash;tRNA ligase	thrS	b1719	1800642	1802570
CcmCDE complex	ccmE // ccmD // ccmC		2294901	2295380
<i>p</i>-aminobenzoyl-glutamate hydrolase	abgA // abgB		1403255	1404565
peptidase T	pepT	b1127	1185844	1187070
catalase/hydroperoxidase HPI	katG	b3942	4133835	4136015
glycerol facilitator	glpF	b3927	4117245	4118090
3-hydroxy-2,4-pentadione 5-phosphate thiolase	lsrF	b1517	1606100	1606975
acid phosphatase / phosphotransferase	aphA	b4055	4269414	4270127
N-acetylglucosamine-specific PTS enzyme II	nagE	b0679	703944	705890
resolvasome	ruvA // ruvB // ruvC		1945365	1945976
multidrug/spermidine efflux pump	mdtI // mdtJ		1672820	1673149
tRNA m<sup>1</sup>G37 methyltransferase	trmD	b2607	2744572	2745339
DLP12 prophage; crossover junction endodeoxyribonuclease RusA	rusA	b0550	573371	573733
formate dehydrogenase N, subcomplex	fdnG // fdnH // fdnI		1547401	1550448
methylmalonyl-CoA mutase	scpA	b2917	3060850	3062994
Tar<SUP>glu-Me</SUP>	tar // cheW // cheA		1971030	1972691
adenine deaminase	adeD	b3665	3843964	3845730
HipB antitoxin / DNA-binding transcriptional repressor	hipB	b1508	1592176	1592442
cyclopropane fatty acyl phospholipid synthase	cfa	b1661	1741413	1742561
ribonucleoside-diphosphate reductase 2, &alpha; subunit dimer	nrdE	b2675	2801348	2803492
metalloprotease TldDE	tldE // tldD		4457959	4459311
formate dehydrogenase formation protein	fdhE	b3891	4080299	4081228
putative ABC transporter ArtPQMI	artP // artQ // artM // artI		903006	903734
acrylyl-CoA reductase	yhdH	b3253	3403484	3404458
maltose <i>O</i>-acetyltransferase	maa	b0459	479367	479918
ribulokinase	araB	b0063	68348	70048
dethiobiotin synthetase BidA	bidA	b1593	1666524	1667219
2-hydroxypentadienoate hydratase	mhpD	b0350	372115	372924
iron-sulfur cluster insertion protein SufA	sufA	b1684	1764018	1764386
thymidine/deoxyuridine kinase	tdk	b1238	1293527	1294144
Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB	relB	b1564	1645633	1645872
inosine/xanthosine triphosphatase	yjjX	b4394	4633233	4633745
alpha-dehydro-beta-deoxy-D-glucarate aldolase	garL	b3126	3272787	3273557
N-acetylneuraminate lyase	nanA	b3225	3372683	3373576
protein/nucleic acid deglycase 3	yajL	b0424	443051	443641
threonine dehydrogenase	tdh	b3616	3790320	3791345
MukF dimer	mukF	b0922	974319	975641
HypCD complex involved in hydrogenase maturation	hypC // hypD		2851864	2852136
galactitol-1-phosphate 5-dehydrogenase	gatD	b2091	2171833	2172873
sensor histidine kinase NarX	narX	b1222	1275822	1277618
disulfide bond oxidoreductase YfcG	yfcG	b2302	2420621	2421268
triose-phosphate isomerase	tpiA	b3919	4110740	4111507
sensor histidine kinase TorS	torS	b0993	1053434	1056178
UMP kinase	pyrH	b0171	191855	192580
3-oxoacyl-[acyl-carrier-protein] reductase FabG	fabG	b1093	1150670	1151404
negative regulator of MalT activity/cystathionine &beta;-lyase	malY	b1622	1700957	1702129
S-formylglutathione hydrolase / S-lactoylglutathione hydrolase	yeiG	b2154	2243910	2244746
DNA-binding transcriptional repressor LsrR	lsrR	b1512	1600288	1601241
3-oxoacyl-[acyl carrier protein] synthase 2	fabF	b1095	1151939	1153180
RNase G	rng	b3247	3396326	3397795
primosomal replication protein N	priB	b4201	4425520	4425834
16S rRNA m<sup>3</sup>U1498 methyltransferase	rsmE	b2946	3091134	3091865
glycine betaine ABC transporter	proX // proW // proV		2807132	2808124
diaminopimelate epimerase	dapF	b3809	3994762	3995586
outer membrane porin PhoE	phoE	b0241	259045	260100
DNA-binding transcriptional repressor MngR	mngR	b0730	765153	765875
DNA-binding transcriptional dual regulator CRP	crp	b3357	3486120	3486752
biotin synthase	bioB	b0775	809344	810384
protoporphyrinogen oxidase	hemG	b3850	4034608	4035153
branched-chain-amino-acid aminotransferase	ilvE	b3770	3952484	3953413
RNA polymerase sigma 28	rpoA // rpoC // rpoB // fliA		3440040	3441029
3-dehydro-D-guloside 4-epimerase	ycjR	b1314	1376034	1376822
carboxylesterase	yjfP	b4190	4416952	4417701
GMP synthetase	guaA	b2507	2630958	2632535
CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase	yagE	b0268	282278	283186
NarX-<i>N</i>-phospho-L-histidine	narX		1275822	1277618
glutamate-1-semialdehyde 2,1-aminomutase	hemL	b0154	173602	174882
spermidine preferential ABC transporter	potD // potC // potB // potA		1181783	1182829
adenylosuccinate lyase	purB	b1131	1190616	1191986
CRISPR-associated endoribonuclease Cas2	cas2	b2754	2878569	2878853
molybdopterin adenylyltransferase	mog	b0009	9306	9893
putative aminoacrylate hydrolase RutD	rutD	b1009	1070965	1071765
&alpha;-ketoglutarate-dependent taurine dioxygenase	tauD	b0368	387795	388646
dTMP kinase	tmk	b1098	1155124	1155765
5-keto-D-gluconate 5-reductase	idnO	b4266	4492587	4493351
DNA-binding transcriptional repressor Zur	zur	b4046	4259488	4260003
tryptophan&mdash;tRNA ligase	trpS	b3384	3512634	3513638
ornithine carbamoyltransferase	argF	b0273	289301	290305
putative quinol monooxygenase YgiN	ygiN	b3029	3173142	3173456
threonine deaminase	ilvA	b3772	3955331	3956875
dimethyl sulfoxide reductase subunit A // dimethyl sulfoxide reductase subunit B // dimethyl sulfoxide reductase subunit C	dmsC // dmsB // dmsA		944033	944896
porphobilinogen synthase	hemB	b0369	388753	389727
diaminopimelate decarboxylase	lysA	b2838	2977637	2978899
homoserine O-succinyltransferase	metA	b4013	4214280	4215209
N-acetylglucosamine-6-phosphate deacetylase	nagA	b0677	701603	702751
KdpD-<i>N</i>-phospho-L-histidine	kdpD		721730	724414
CcmABCD release complex	ccmA // ccmB // ccmC // ccmD		2297021	2297644
catalase HPII	katE	b1732	1813867	1816128
phosphoenolpyruvate synthetase regulatory protein	ppsR	b1703	1787445	1788278
fused aspartate kinase/homoserine dehydrogenase 1	thrA	b0002	337	2799
glutathione <i>S</i>-transferase GstA	gstA	b1635	1714377	1714982
nucleoside triphosphate pyrophosphohydrolase	mazG	b2781	2909894	2910685
ATP-dependent DNA helicase Rep	rep	b3778	3960677	3962698
superoxide dismutase (Fe)	sodB	b1656	1735378	1735959
undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit // undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit	arnF // arnE		2372892	2373278
hydroxyethylthiazole kinase	thiM	b2104	2184513	2185301
L-asparaginase 1	ansA	b1767	1850860	1851876
divalent metal ion transporter ZupT	zupT	b3040	3182550	3183323
ATP synthase F<sub>1</sub> complex subunit &beta;	atpD	b3732	3915993	3917375
cobinamide-P guanylyltransferase / cobinamide kinase	cobU	b1993	2065219	2065764
L-arabinose isomerase	araA	b0062	66835	68337
sorbitol-6-phosphate 2-dehydrogenase	srlD	b2705	2827737	2828516
IS2 insertion element repressor InsA	insC1	b0360	381351	381716
chemotaxis signaling complex core unit - dipeptide sensing	tap // cheW // cheA		1969383	1970984
anaerobic ribonucleoside-triphosphate reductase	nrdD	b4238	4460522	4462660
Trg<SUP>glu</SUP>	trg // cheW // cheA		1492470	1494110
disulfide reductase / organic hydroperoxide reductase	yghU	b2989	3138727	3139593
cell division factor ZapD	zapD	b0102	111856	112599
YhaV-PrlF toxin-antitoxin complex	yhaV // prlF		3277337	3277801
L-ascorbate-6-phosphate lactonase	ulaG	b4192	4418561	4419625
nitrite reductase (NADH) small subunit // nitrite reductase (NADH) large subunit	nirB // nirD		3494011	3496554
adenine phosphoribosyltransferase	apt	b0469	491412	491963
pyridoxine 5'-phosphate synthase	pdxJ	b2564	2700998	2701729
aromatic carboxylic acid efflux pump	aaeB // aaeA		3386221	3388188
UDP-galactopyranose mutase	glf	b2036	2107226	2108329
Mlc-PtsG	mlc // ptsG		1667344	1668564
formate channel FocA	focA	b0904	953609	954466
murein tripeptide ABC transporter	mppA // oppF // oppD // oppC // oppB		1393227	1394840
3,4-dihydroxy-2-butanone-4-phosphate synthase	ribB	b3041	3183813	3184466
putative two-component system connector protein AriR	ariR	b1166	1216369	1216635
1-phosphofructokinase	fruK	b2168	2261427	2262365
DNA-binding transcriptional repressor PaaX	paaX	b1399	1463539	1464489
chromosome partitioning protein MukB	mukB	b0924	976326	980786
cysteine synthase B	cysM	b2421	2538672	2539583
nucleoside diphosphate kinase	ndk	b2518	2644433	2644864
aspartate carbamoyltransferase catalytic subunit // aspartate carbamoyltransferase, regulatory subunit	pyrI // pyrB		4470986	4471447
RNA polymerase, core enzyme	rpoB // rpoC // rpoA		4181245	4185273
leucine / L-phenylalanine ABC transporter	livF // livG // livH // livM // livK		3592724	3593437
mannitol-specific PTS enzyme II	mtlA	b3599	3772281	3774194
FtsLBQ cell division complex	ftsL // ftsB // ftsQ		91032	91397
protein translocation ATPase	secA	b0098	108279	110984
mannose-specific PTS enzyme IIAB component	manX	b1817	1902048	1903019
2-keto-3-deoxy-L-rhamnonate aldolase	yfaU	b2245	2358042	2358845
D-sedoheptulose 7-phosphate isomerase	gmhA	b0222	243543	244121
D-galactose / methyl-&beta;-D-galactoside ABC transporter	mglB // mglC // mglA		2239350	2240348
dethiobiotin synthetase	bioD	b0778	812270	812947
tyrosine aminotransferase	tyrB	b4054	4267114	4268307
small conductance mechanosensitive channel YnaI	ynaI	b1330	1394891	1395922
ferric enterobactin ABC transporter	fepB // fepG // fepD // fepC		623554	624510
phosphodiesterase YfcE	yfcE	b2300	2419234	2419788
arylamine <i>N</i>-acetyltransferase	nhoA	b1463	1534024	1534869
thymidylate synthase	thyA	b2827	2964361	2965155
2-oxoglutarate decarboxylase, thiamine-requiring	sucA	b0726	758706	761507
fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	putA	b1014	1074920	1078882
asparagine synthetase A	asnA	b3744	3927155	3928147
isoaspartyl dipeptidase / asparaginase 3	iaaA		866568	867533
galactitol-specific PTS enzyme II	gatA // gatB // gatC		2174597	2175049
putative carbamoyltransferase YgeW	ygeW	b2870	3006262	3007452
low-specificity L-threonine aldolase	ltaE	b0870	908293	909294
enamine/imine deaminase, redox-regulated chaperone	ridA	b4243	4470527	4470913
3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive	aroG	b0754	785633	786685
multidrug efflux pump AcrEF-TolC	acrF // acrE // tolC		3415033	3418137
galactose-1-phosphate uridylyltransferase	galT	b0758	789983	791029
twin arginine protein translocation system	tatA // tatE // tatC // tatB		4021945	4022214
oxygen-sensing cyclic di-GMP phosphodiesterase DosP	dosP	b1489	1563334	1565733
putative PTS enzyme II FrvAB	frvA // frvB		4092377	4092823
&gamma;-aminobutyraldehyde dehydrogenase	patD	b1444	1515578	1517002
DNA-binding transcriptional dual regulator DsdC	dsdC	b2364	2476694	2477629
chemotaxis signaling complex core unit - aspartate sensing	tar // cheW // cheA		1971030	1972691
aspartate 1-decarboxylase	panD		146314	146694
thioredoxin reductase	trxB	b0888	931085	932050
tRNA adenosine<sup>34</sup> deaminase	tadA	b2559	2697354	2697857
fructose 1,6-bisphosphatase YggF	yggF	b2930	3075217	3076182
AlaE	alaE	b2670	2799164	2799613
S-(hydroxymethyl)glutathione dehydrogenase	frmA	b0356	378462	379571
